"day","month","year","mintp","mxntp","p","evp"
1,1,2018,6.94,19.59,0,1.58492626300445
2,1,2018,6.57,20.56,0,1.69149894388381
3,1,2018,6.51,20.03,0,1.77160355679309
4,1,2018,6.66,21.03,0,1.67879412553152
5,1,2018,5.14,20.93,0,1.95590245485059
6,1,2018,5.41,20.65,0,2.17583734056233
7,1,2018,4.03,20.92,0,2.26930994257751
8,1,2018,4.04,20.95,0,2.01576614849719
9,1,2018,5.62,22.62,0,2.41013771159622
10,1,2018,3.93,23.49,0,2.77188343931114
11,1,2018,5.14,21.91,0,2.25717053095492
12,1,2018,8.46,21.88,0,2.03102071949647
13,1,2018,8.83,22.6,0,2.0224552987044
14,1,2018,8.59,23.31,0,2.19564654783491
15,1,2018,5.31,23.15,0,2.64033970919298
16,1,2018,3.63,25.27,0,2.68293106107667
17,1,2018,5.94,23.75,0,3.14319638528908
18,1,2018,10.13,25.7,0,2.40966453603083
19,1,2018,8.21,23.74,0,2.47402629989275
20,1,2018,4.74,24.8,0,2.85467156275649
21,1,2018,5.48,23.47,0,2.24281420202754
22,1,2018,6.58,22.77,0,2.07041699712355
23,1,2018,6.27,11.92,15.63,1.19897951902508
24,1,2018,6.12,18.32,0.3,1.6958570671388
25,1,2018,4.01,19.7,0,2.21841623351844
26,1,2018,7.58,21.03,0,1.69399134618877
27,1,2018,6.87,20.89,0,2.00591568918406
28,1,2018,7.26,22.48,0,2.26988151241051
29,1,2018,8.05,24.07,0,2.79584645139339
30,1,2018,8.92,26.58,0,3.45638312017821
31,1,2018,9.34,24.24,0,3.09829156199847
1,2,2018,12.14,27.16,0,3.04224686632857
2,2,2018,9.01,24.99,0,3.05618896609496
3,2,2018,8.02,24.42,0,2.84395744704082
4,2,2018,5.52,24.51,0,3.17286903127852
5,2,2018,7.29,24.7,0,2.71964978052677
6,2,2018,4.72,24.69,0,3.57431572778817
7,2,2018,5.73,23.94,0,2.94796085711066
8,2,2018,7.38,23.8,0,-0.312522370880807
9,2,2018,6.34,24,0,2.92634059604868
10,2,2018,9.7,25.52,0,2.55371153866434
11,2,2018,9.42,21.64,0.91,2.47512915791861
12,2,2018,10.04,16.26,15.78,2.01119330008952
13,2,2018,7.76,22.19,0.79,2.64073770277528
14,2,2018,6.52,23.48,0,3.20511244142311
15,2,2018,8.46,25.16,0,3.18453620007902
16,2,2018,9.22,26.05,0,3.18421068287967
17,2,2018,11.61,28.74,0,4.01076609602033
18,2,2018,8.73,27.53,0,3.50633840992096
19,2,2018,13.16,28.34,0,3.22694295974471
20,2,2018,13.52,29.58,0,3.53009385170776
21,2,2018,14.53,30.3,0.12,3.83534889411426
22,2,2018,14.27,29.33,0,3.46196676262685
23,2,2018,14.28,30.74,0.09,3.14600630456705
24,2,2018,15.54,29.25,3.01,3.93586599757592
25,2,2018,13.82,28.69,0.79,3.72661796050264
26,2,2018,11.75,28.98,0,4.21021507206742
27,2,2018,14.89,31.03,0,3.9098556306768
28,2,2018,16.18,29.08,0,3.29547175203137
1,3,2018,16.56,28.48,0.06,3.48926315120069
2,3,2018,16.91,31.16,0.13,4.05206784360894
3,3,2018,15.88,24.14,1.29,2.39027344298971
4,3,2018,15.08,25.98,0.14,3.1481133924513
5,3,2018,12.54,29.06,0,4.01591526621945
6,3,2018,11.86,29.28,0,4.40928338037054
7,3,2018,11.35,31.07,0,4.73215944016072
8,3,2018,15.57,31.68,0,3.78293360015929
9,3,2018,14.88,31.79,0,4.5407051085133
10,3,2018,14.3,31.58,0,4.83127895347893
11,3,2018,14.16,32.08,0,4.57602534344345
12,3,2018,16.28,34.08,0,4.76971115276233
13,3,2018,18.46,35.28,0,4.19705506984088
14,3,2018,16.08,34.98,0,5.63433675791726
15,3,2018,16.39,33.15,0.17,4.3956296965964
16,3,2018,17.47,31.43,0.24,4.44755723637541
17,3,2018,13.36,31.14,0,5.31650278012369
18,3,2018,14.45,33.03,0,5.19453089469296
19,3,2018,16.49,34.86,0,5.09730570205103
20,3,2018,16.85,35.89,0.52,4.56540933748578
21,3,2018,17.97,30.66,2.86,3.07000127961411
22,3,2018,16.46,30.3,0.96,4.07751870444758
23,3,2018,15.04,31.41,0,4.55146062712674
